yacht_name,yacht_url,yacht_builder,yacht_length,yacht_date,yacht_tspeed,yacht_cspeed,yacht_range,yacht_beam,yacht_guests,yacht_crew
Issham Al Baher,http://www.boatinternational.com/yachts/the-superyacht-directory/issham-al-baher--63375,,,,,,,,,
Atlantis II,http://www.boatinternational.com/yachts/the-superyacht-directory/atlantis-ii--63377,,,,,,,,,
Turama,http://www.boatinternational.com/yachts/the-superyacht-directory/turama--41501,,,,,,,,,
Motor Yacht A,http://www.boatinternational.com/yachts/the-superyacht-directory/a--73827,,,,,,,,,
Alexander,http://www.boatinternational.com/yachts/the-superyacht-directory/alexander--46985,,,,,,,,,
Al Lusail,https://www.boatinternational.com/yachts/the-superyacht-directory/al-lusail--81633,,,,,,,,,
Golden Odyssey,http://www.boatinternational.com/yachts/the-superyacht-directory/golden-odyssey--81627,,,,,,,,,
Savarona,http://www.boatinternational.com/yachts/the-superyacht-directory/savarona--43461,,,,,,,,,
Katara,http://www.boatinternational.com/yachts/the-superyacht-directory/katara--60549,,,,,,,,,
Maryah,http://www.boatinternational.com/yachts/the-superyacht-directory/maryah--50747,,,,,,,,,
Octopus,http://www.boatinternational.com/yachts/the-superyacht-directory/octopus--60579,,,,,,,,,
Al Mirqab,http://www.boatinternational.com/yachts/the-superyacht-directory/al-mirqab--54129,,,,,,,,,
Serene,http://www.boatinternational.com/yachts/the-superyacht-directory/serene--66085,,,,,,,,,
Rising Sun’s,http://www.boatinternational.com/yachts/the-superyacht-directory/rising-sun--60567,,,,,,,,,
Al Salamah,http://www.boatinternational.com/yachts/the-superyacht-directory/al-salamah--60587,,,,,,,,,
Ocean Victory,http://www.boatinternational.com/yachts/the-superyacht-directory/ocean-victory--56971,,,,,,,,,
Yas,http://www.boatinternational.com/yachts/the-superyacht-directory/yas--68103,,,,,,,,,
Sailing Yacht A,http://www.boatinternational.com/yachts/the-superyacht-directory/sailing-yacht-a--39349,,,,,,,,,
El Mahroussa,http://www.boatinternational.com/yachts/the-superyacht-directory/el-mahroussa--52669,,,,,,,,,
Prince Abdulaziz,http://www.boatinternational.com/yachts/the-superyacht-directory/prince-abdulaziz--63357,,,,,,,,,
Topaz,http://www.boatinternational.com/yachts/the-superyacht-directory/topaz--58015,,,,,,,,,
Al Saïd,http://www.boatinternational.com/yachts/the-superyacht-directory/al-said--60555,,,,,,,,,
Dilbar,http://www.boatinternational.com/yachts/the-superyacht-directory/omar--81557,,,,,,,,,
Dubai,http://www.boatinternational.com/yachts/the-superyacht-directory/dubai--73829,,,,,,,,,
Eclipse,http://www.boatinternational.com/yachts/the-superyacht-directory/eclipse--73837,,,,,,,,,
Azzam,http://www.boatinternational.com/yachts/the-superyacht-directory/azzam--57571,,,,,,,,,
