yacht_name,yacht_url,yacht_builder,yacht_length,yacht_date,yacht_tspeed,yacht_cspeed,yacht_range,yacht_beam,yacht_guests,yacht_crew
Fountainhead,http://www.boatinternational.com/yachts/the-superyacht-directory/fountainhead--66743,Feadship, 87.78m , 2011 , 21kts , 15kts ,, 13.9m ,,
Asean Lady,http://www.boatinternational.com/yachts/the-superyacht-directory/asean-lady--49013,Pride Mega Yachts, 88.15m , 2004 , 15kts , 12kts , 10000nm , 21.27m , 22 , 18 
Nirvana,http://www.boatinternational.com/yachts/the-superyacht-directory/nirvana--55443,Oceanco, 88.50m , 2012 , 19kts , 16kts , 6800nm , 14.2m , 12 , 27 
Barbara,http://www.boatinternational.com/yachts/the-superyacht-directory/barbara--39367,Oceanco, 88.50m , 2017 , 18kts ,,, 14.5m ,,
Infinity,http://www.boatinternational.com/yachts/the-superyacht-directory/infinity--58351,Oceanco, 89.00m , 2015 , 18kts ,,, 14.2m ,, 14 
Lauren L,http://www.boatinternational.com/yachts/the-superyacht-directory/lauren-l--44549,Cassens, 90.00m , 2002 , 15kts , 14kts , 3400nm , 14.0m , 40 , 29 
Lionheart,http://www.boatinternational.com/yachts/the-superyacht-directory/benetti-fb-262--37705,Benetti, 90.00m , 2016 , 18kts , 16kts ,,,,
Phoenix2,http://www.boatinternational.com/yachts/the-superyacht-directory/phoenix-2--60537,Lurssen, 90.01m , 2010 , 17kts , 15kts ,, 14.0m , 12 , 28 
Ice,http://www.boatinternational.com/yachts/the-superyacht-directory/ice--60571,Lurssen, 90.10m , 2005 , 18kts , 15kts , 6000nm , 15.0m , 14 , 27 
Nahlin,http://www.boatinternational.com/yachts/the-superyacht-directory/nahlin--73379,Brown J, 91.44m , 1930 , 18kts , 15kts ,, 11.03m , 14 , 47 
Dubawi,http://www.boatinternational.com/yachts/the-superyacht-directory/dubawi--66569,Ferrari, 90.60m , 1989 , 17kts , 16kts , 4100nm , 15.3m ,, 70 
Lady Lara,http://www.boatinternational.com/yachts/the-superyacht-directory/lady-lara--81629,Lurssen, 91.00m , 2015 ,,,, 14.35m ,,
Moonlight II,http://www.boatinternational.com/yachts/the-superyacht-directory/moonlight-ii--47433,Neorion, 91.40m , 2005 , 18kts , 16kts , 7000nm , 14.44m , 36 , 34 
Queen Miri,http://www.boatinternational.com/yachts/the-superyacht-directory/queen-miri--58763,Neorion, 91.50m , 2004 , 18kts , 16kts , 7000nm , 14.44m , 36 , 34 
Equanimity,http://www.boatinternational.com/yachts/the-superyacht-directory/equanimity--57683,Oceanco, 91.50m , 2014 , 19kts , 16kts ,, 14.6m , 26 , 28 
Aquarius,http://www.boatinternational.com/yachts/the-superyacht-directory/aquarius--87019,Feadship, 92.00m , 2016 , 17kts , 12kts , 5500nm , 13.5m , 14 , 31 
